loop:1,season:5.93471e+07,P_air:4.45742e-06,P_ice:0,P_rego:0.00699554,T_sub:110.67
0,112.5493590206742,0,112.5493579531644,0,112.5495161963197,0
1,114.9977483860584,0,114.990192825071,0,114.990307299743,0
2,117.4452479511764,0,117.4301639388929,0,117.4302346564597,0
3,119.8912855066383,0,119.8686723588058,0,119.8686993441041,0
4,122.3350921834968,0,122.3049554670619,0,122.3049387585316,0
5,124.7759187071241,0,124.7382670728141,0,124.7382067188618,0
6,127.2130198528355,0,127.1678645046067,0,127.1677605640562,0
7,129.6456524281626,0,129.5930069689225,0,129.5928595258699,0
8,132.0730749256762,0,132.0129552965517,0,132.0127644403702,0
9,134.4945475665111,0,134.4269720168369,0,134.4267378372237,0
10,136.9093324490165,0,136.8343215181889,0,136.8340441454438,0
11,139.3166937310926,0,139.2342702354494,0,139.2339497911127,0
12,141.715897848935,0,141.6260868707954,0,141.6257234922818,0
13,144.1062137166406,0,144.0090425942027,0,144.0086364487106,0
14,146.4869129513244,0,146.382411268745,0,146.381962499822,0
15,148.8572700852599,0,148.7454696625852,0,148.7449784746907,0
16,151.2165627867326,0,151.0974976694799,0,151.0969642280487,0
17,153.5640720704506,0,153.4377785187254,0,153.4372030569979,0
18,155.8990825241038,0,155.765599001178,0,155.7649817065149,0
19,158.2208825097114,0,158.0802496700374,0,158.0795908037153,0
20,160.5287643882737,0,160.3810250648945,0,160.3803248362034,0
21,162.8220247216005,0,162.667223912944,0,162.666482610371,0
22,165.0999644897842,0,164.9381493458385,0,164.9373672036852,0
23,167.3618892969668,0,167.1931091048219,0,167.1922863937723,0
24,169.6071095773565,0,169.4314157461185,0,169.4305527621993,0
25,171.8349407916104,0,171.6523868366818,0,171.6514839144483,0
26,174.0447036453871,0,173.8553451721152,0,173.8544025920713,0
27,176.2357242703135,0,176.0396189570182,0,176.0386370352385,0
28,178.4073344167529,0,178.2045419971242,0,178.2035210775542,0
29,180.5588716663307,0,180.3494539112084,0,180.3483943388288,0
30,182.6896795985317,0,182.473700297072,0,182.4726024256641,0
31,184.7991079814777,0,184.5766329216998,0,184.575497127064,0
32,186.8865129437888,0,186.6576098925287,0,186.6564365167752,0
33,188.9512571441145,0,188.7159958263697,0,188.7147852915928,0
34,190.9927099527915,0,190.7511620304747,0,190.7499147185493,0
35,193.0102475760504,0,192.7624866261577,0,192.7612029134447,0
36,195.0032532010953,0,194.7493546932904,0,194.7480350275571,0
37,196.9711171546563,0,196.7111584282825,0,196.7098031195131,0
38,198.9132369797055,0,198.6472972202317,0,198.6459068519285,0
39,200.8290175407534,0,200.5571777556543,0,200.5557527047648,0
40,202.717871070203,0,202.4402140642989,0,202.4387547536354,0
41,204.5792172314744,0,204.2958275817162,0,204.2943344699288,0
42,206.4124830749645,0,206.1234471046911,0,206.1219206436719,0
43,208.2171030393688,0,207.9225087920331,0,207.9209493826891,0
44,209.9925188034397,0,209.6924560158207,0,209.6908641270299,0
45,211.738179271648,0,211.4327393465455,0,211.4311154354309,0
46,213.4535404816928,0,213.1428164601274,0,213.1411609923457,0
47,215.1380656259265,0,214.8221521588356,0,214.8204655713803,0
48,216.7912255864348,0,216.470218905875,0,216.4685015763049,0
49,218.4124995405567,0,218.0864974304096,0,218.0847498438171,0
50,220.0013765907563,0,219.6704783569361,0,219.6687010114318,0
51,221.5573573179819,0,221.2216637581488,0,221.2198568915257,0
52,223.0799554415306,0,222.7395688143219,0,222.7377332237684,0
53,224.5686990498579,0,224.2237230436523,0,224.2218589739926,0
54,226.0231309179511,0,225.6736706191959,0,225.6717784919052,0
55,227.4428079156951,0,227.0889697768123,0,227.0870498681339,0
56,228.8273011235377,0,228.4691929336438,0,228.4672460466351,0
57,230.1610149495962,0,229.7867129940998,0,229.7851253780871,0
58,231.1033949324317,0,230.7390460947422,0,230.7379170858106,0
59,231.8701638134649,0,231.5008715197013,0,231.4999522610487,0
60,232.5190723547179,0,232.1455492165238,0,232.1447225038429,0
61,233.0849222492469,0,232.7076269881619,0,232.7069619918288,0
62,233.58960176169,0,233.2086725065368,0,233.2081279956189,0
63,234.0474267250695,0,233.6630007638262,0,233.6625141421243,0
64,234.4680260424886,0,234.0802295625699,0,234.0798073048127,0
65,234.8580308885469,0,234.4669843308475,0,234.4666060074917,0
66,235.2220939829468,0,234.8279199645114,0,234.8275834220103,0
67,235.5635446344756,0,235.1663641322182,0,235.1660610868135,0
68,235.8847756217341,0,235.4847107258461,0,235.484437626357,0
69,236.1875462065382,0,235.7847193177005,0,235.7844695349234,0
70,236.4731524495433,0,236.067686586734,0,236.0674505092686,0
71,236.7425492474336,0,236.3345683440422,0,236.3343456839049,0
72,236.996453638692,0,236.5860821764913,0,236.5858658591392,0
73,237.2354020171039,0,236.8227651756442,0,236.8225566522623,0
74,237.4597950787357,0,237.0450187137203,0,237.0448197879986,0
75,237.6699353642166,0,237.2531459254685,0,237.2529533578064,0
76,237.8660470256751,0,237.4473715721156,0,237.4471896015573,0
77,238.048299270205,0,237.6278654063752,0,237.6276859452441,0
78,238.2168170387914,0,237.7947528960842,0,237.7945733403271,0
79,238.3716908777042,0,237.948125070312,0,237.9479494447362,0
80,238.5129893252864,0,238.088050917665,0,238.0878755598498,0
81,238.6407578673216,0,238.2145763335884,0,238.2144049669978,0
82,238.7550323876689,0,238.3277375768842,0,238.3275675657903,0
83,238.8558346422089,0,238.4275567370846,0,238.4273863845526,0
84,238.9431810899248,0,238.5140505686452,0,238.5138834438885,0
85,239.0170811097591,0,238.5872287087162,0,238.5870608916247,0
86,239.0775396865378,0,238.6470963590689,0,238.6469284932273,0
87,239.124562084166,0,238.6936589618746,0,238.6934915796371,0
88,239.1581485819072,0,238.7269169357189,0,238.7267491382996,0
89,239.1783001155632,0,238.7468713150975,0,238.7467037946773,0
90,239.1850173082721,0,238.7535227831943,0,238.7533573229141,0
91,239.1783001155632,0,238.7468713150975,0,238.7467037946773,0
92,239.1581485819072,0,238.7269169357189,0,238.7267491382996,0
93,239.124562084166,0,238.6936589618746,0,238.6934915796371,0
94,239.0775396865378,0,238.6470963590689,0,238.6469284932273,0
95,239.0170811097591,0,238.5872287087162,0,238.5870608916247,0
96,238.9431810899248,0,238.5140505686452,0,238.5138834438885,0
97,238.8558346422089,0,238.4275567370846,0,238.4273863845526,0
98,238.7550323876689,0,238.3277375768842,0,238.3275675657903,0
99,238.6407578673216,0,238.2145763335884,0,238.2144049669978,0
100,238.5129893252864,0,238.088050917665,0,238.0878755598498,0
101,238.3716908777042,0,237.948125070312,0,237.9479494447362,0
102,238.2168170387914,0,237.7947528960842,0,237.7945733403271,0
103,238.048299270205,0,237.6278654063752,0,237.6276859452441,0
104,237.8660470256751,0,237.4473715721156,0,237.4471896015573,0
105,237.6699353642166,0,237.2531459254685,0,237.2529533578064,0
106,237.4597950787357,0,237.0450187137203,0,237.0448197879986,0
107,237.2354020171039,0,236.8227651756442,0,236.8225566522623,0
108,236.996453638692,0,236.5860821764913,0,236.5858658591392,0
109,236.7425492474336,0,236.3345683440422,0,236.3343456839049,0
110,236.4731524495433,0,236.067686586734,0,236.0674505092686,0
111,236.1875462065382,0,235.7847193177005,0,235.7844695349234,0
112,235.8847756217341,0,235.4847107258461,0,235.484437626357,0
113,235.5635446344756,0,235.1663641322182,0,235.1660610868135,0
114,235.2220939829468,0,234.8279199645114,0,234.8275834220103,0
115,234.8580308885469,0,234.4669843308475,0,234.4666060074917,0
116,234.4680260424886,0,234.0802295625699,0,234.0798073048127,0
117,234.0474267250695,0,233.6630007638262,0,233.6625141421243,0
118,233.58960176169,0,233.2086725065368,0,233.2081279956189,0
119,233.0849222492469,0,232.7076269881619,0,232.7069619918288,0
120,232.5190723547179,0,232.1455492165238,0,232.1447225038429,0
121,231.8701638134649,0,231.5008715197013,0,231.4999522610487,0
122,231.1033949324317,0,230.7390460947422,0,230.7379170858106,0
123,230.1610149495962,0,229.7867129940998,0,229.7851253780871,0
124,228.8273011235377,0,228.4691929336438,0,228.4672460466351,0
125,227.4428079156951,0,227.0889697768123,0,227.0870498681339,0
126,226.0231309179511,0,225.6736706191959,0,225.6717784919052,0
127,224.5686990498579,0,224.2237230436523,0,224.2218589739926,0
128,223.0799554415306,0,222.7395688143219,0,222.7377332237684,0
129,221.5573573179819,0,221.2216637581488,0,221.2198568915257,0
130,220.0013765907563,0,219.6704783569361,0,219.6687010114318,0
131,218.4124995405567,0,218.0864974304096,0,218.0847498438171,0
132,216.7912255864348,0,216.470218905875,0,216.4685015763049,0
133,215.1380656259265,0,214.8221521588356,0,214.8204655713803,0
134,213.4535404816928,0,213.1428164601274,0,213.1411609923457,0
135,211.738179271648,0,211.4327393465455,0,211.4311154354309,0
136,209.9925188034397,0,209.6924560158207,0,209.6908641270299,0
137,208.2171030393688,0,207.9225087920331,0,207.9209493826891,0
138,206.4124830749645,0,206.1234471046911,0,206.1219206436719,0
139,204.5792172314744,0,204.2958275817162,0,204.2943344699288,0
140,202.717871070203,0,202.4402140642989,0,202.4387547536354,0
141,200.8290175407534,0,200.5571777556543,0,200.5557527047648,0
142,198.9132369797055,0,198.6472972202317,0,198.6459068519285,0
143,196.9711171546563,0,196.7111584282825,0,196.7098031195131,0
144,195.0032532010953,0,194.7493546932904,0,194.7480350275571,0
145,193.0102475760504,0,192.7624866261577,0,192.7612029134447,0
146,190.9927099527915,0,190.7511620304747,0,190.7499147185493,0
147,188.9512571441145,0,188.7159958263697,0,188.7147852915928,0
148,186.8865129437888,0,186.6576098925287,0,186.6564365167752,0
149,184.7991079814777,0,184.5766329216998,0,184.575497127064,0
150,182.6896795985317,0,182.473700297072,0,182.4726024256641,0
151,180.5588716663307,0,180.3494539112084,0,180.3483943388288,0
152,178.4073344167529,0,178.2045419971242,0,178.2035210775542,0
153,176.2357242703135,0,176.0396189570182,0,176.0386370352385,0
